Item,a,b,c
C401,0.558,1.143,0.17
C402,0.557,1.142,0.17
C403,0.552,1.149,0.17
C404,0.55,1.16,0.17
C405,0.55,1.151,0.17
C406,0.547,1.163,0.17
C407,0.547,1.173,0.17
C408,0.541,1.182,0.17
C409,0.536,1.189,0.17
C410,0.536,1.2,0.17
C411,0.535,1.197,0.17
C412,0.531,1.201,0.17
C413,0.529,1.206,0.17
C414,0.528,1.214,0.17
C415,0.528,1.236,0.17
C416,0.526,1.235,0.17
C417,0.524,1.242,0.17
C418,0.519,1.251,0.17
C419,0.519,1.251,0.17
C420,0.514,1.264,0.17
C421,0.512,1.283,0.17
C422,0.509,1.283,0.17
C423,0.509,1.292,0.17
C424,0.509,1.305,0.17
C425,0.506,1.31,0.17
C426,0.503,1.315,0.17
C427,0.502,1.343,0.17
C428,0.5,1.348,0.17
C429,0.499,1.372,0.17
C430,0.499,1.377,0.17
C431,0.496,1.413,0.17
C432,0.496,1.421,0.17
C433,0.494,1.44,0.17
C434,0.492,1.449,0.17
C435,0.49,1.462,0.17
C436,0.489,1.482,0.17
C437,0.489,1.484,0.17
C438,0.487,1.498,0.17
C439,0.482,1.512,0.17
C440,0.482,1.515,0.17
C441,0.477,1.525,0.17
C442,0.473,1.522,0.17
C443,0.471,1.531,0.17
C444,0.471,1.538,0.17
C445,0.469,1.539,0.17
C446,0.467,1.569,0.17
C447,0.467,1.586,0.17
C448,0.464,1.606,0.17
C449,0.463,1.619,0.17
C450,0.462,1.636,0.17
C451,0.461,1.65,0.17
C452,0.458,1.676,0.17
C453,0.454,1.68,0.17
C454,0.453,1.679,0.17
C455,0.45,1.697,0.17
C456,0.449,1.706,0.17
C457,0.449,1.715,0.17
C458,0.448,1.77,0.17
C459,0.446,1.789,0.17
C460,0.444,1.8,0.17
C461,0.441,1.793,0.17
C462,0.439,1.816,0.17
C463,0.437,1.816,0.17
C464,0.437,1.825,0.17
C465,0.431,1.839,0.17
C466,0.43,1.839,0.17
C467,0.428,1.845,0.17
C468,0.428,1.868,0.17
C469,0.427,1.865,0.17
C470,0.426,1.9,0.17
C471,0.424,1.893,0.17
C472,0.423,1.907,0.17
C473,0.42,1.976,0.17
C474,0.412,2.005,0.17
C475,0.412,2.019,0.17
C476,0.407,2.014,0.17
C477,0.401,2.058,0.17
C478,0.4,2.067,0.17
C479,0.397,2.065,0.17
C480,0.392,2.134,0.17
C481,0.388,2.151,0.17
C482,0.386,2.156,0.17
C483,0.385,2.152,0.17
C484,0.38,2.17,0.17
C485,0.374,2.195,0.17
C486,0.368,2.218,0.17
C487,0.367,2.395,0.17
C488,0.365,2.438,0.17
C489,0.361,2.475,0.17
C490,0.358,2.511,0.17
C491,0.355,2.534,0.17
C492,0.343,2.558,0.17
C493,0.338,2.561,0.17
C494,0.336,2.596,0.17
C495,0.333,2.683,0.17
C496,0.331,2.721,0.17
C497,0.327,2.798,0.17
C498,0.325,3.111,0.17
C499,0.311,3.174,0.17
C500,0.307,3.248,0.17
