Item,a,b,c
C1,0.314,-3.267,0.17
C2,0.321,-2.765,0.17
C3,0.322,-2.673,0.17
C4,0.32,-2.619,0.17
C5,0.337,-2.445,0.17
C6,0.334,-2.38,0.17
C7,0.332,-2.381,0.17
C8,0.344,-2.314,0.17
C9,0.353,-2.229,0.17
C10,0.357,-2.194,0.17
C11,0.358,-1.961,0.17
C12,0.367,-1.923,0.17
C13,0.361,-1.852,0.17
C14,0.362,-1.81,0.17
C15,0.378,-1.816,0.17
C16,0.371,-1.803,0.17
C17,0.385,-1.713,0.17
C18,0.382,-1.705,0.17
C19,0.387,-1.69,0.17
C20,0.391,-1.694,0.17
C21,0.399,-1.663,0.17
C22,0.392,-1.642,0.17
C23,0.406,-1.645,0.17
C24,0.405,-1.614,0.17
C25,0.413,-1.588,0.17
C26,0.415,-1.578,0.17
C27,0.416,-1.565,0.17
C28,0.42,-1.55,0.17
C29,0.422,-1.516,0.17
C30,0.421,-1.497,0.17
C31,0.422,-1.482,0.17
C32,0.428,-1.475,0.17
C33,0.424,-1.474,0.17
C34,0.438,-1.475,0.17
C35,0.434,-1.429,0.17
C36,0.435,-1.419,0.17
C37,0.435,-1.404,0.17
C38,0.436,-1.362,0.17
C39,0.433,-1.365,0.17
C40,0.445,-1.35,0.17
C41,0.447,-1.35,0.17
C42,0.44,-1.304,0.17
C43,0.442,-1.29,0.17
C44,0.446,-1.292,0.17
C45,0.455,-1.287,0.17
C46,0.459,-1.268,0.17
C47,0.457,-1.261,0.17
C48,0.453,-1.251,0.17
C49,0.462,-1.218,0.17
C50,0.465,-1.216,0.17
C51,0.464,-1.204,0.17
C52,0.464,-1.185,0.17
C53,0.469,-1.173,0.17
C54,0.469,-1.17,0.17
C55,0.463,-1.163,0.17
C56,0.462,-1.136,0.17
C57,0.472,-1.106,0.17
C58,0.479,-1.09,0.17
C59,0.476,-1.09,0.17
C60,0.472,-1.066,0.17
C61,0.485,-1.061,0.17
C62,0.484,-1.024,0.17
C63,0.481,-1.019,0.17
C64,0.481,-1.016,0.17
C65,0.485,-0.991,0.17
C66,0.493,-0.976,0.17
C67,0.491,-0.957,0.17
C68,0.494,-0.953,0.17
C69,0.49,-0.955,0.17
C70,0.492,-0.946,0.17
C71,0.49,-0.943,0.17
C72,0.508,-0.948,0.17
C73,0.505,-0.937,0.17
C74,0.506,-0.906,0.17
C75,0.504,-0.892,0.17
C76,0.5,-0.897,0.17
C77,0.5,-0.897,0.17
C78,0.5,-0.889,0.17
C79,0.513,-0.879,0.17
C80,0.514,-0.864,0.17
C81,0.516,-0.862,0.17
C82,0.513,-0.854,0.17
C83,0.522,-0.845,0.17
C84,0.525,-0.82,0.17
C85,0.526,-0.805,0.17
C86,0.524,-0.809,0.17
C87,0.527,-0.796,0.17
C88,0.52,-0.788,0.17
C89,0.534,-0.788,0.17
C90,0.531,-0.779,0.17
C91,0.538,-0.779,0.17
C92,0.536,-0.769,0.17
C93,0.541,-0.765,0.17
C94,0.541,-0.754,0.17
C95,0.549,-0.751,0.17
C96,0.554,-0.755,0.17
C97,0.558,-0.733,0.17
C98,0.55,-0.723,0.17
C99,0.556,-0.721,0.17
C100,0.557,-0.722,0.17
